appliances_kwh,equipment_kwh,lighting_kwh,hour,day_of_week,month,day_of_month,year,is_weekend,is_work_hour,is_night,is_morning,is_evening,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,total_kwh,appliances_kwh_ratio,equipment_kwh_ratio,lighting_kwh_ratio,appliances_kwh_lag_24h,appliances_kwh_lag_168h,appliances_kwh_lag_48h,equipment_kwh_lag_24h,equipment_kwh_lag_168h,equipment_kwh_lag_48h,lighting_kwh_lag_24h,lighting_kwh_lag_168h,lighting_kwh_lag_48h,appliances_kwh_rolling_24h_mean,appliances_kwh_rolling_24h_std,appliances_kwh_rolling_168h_mean,appliances_kwh_rolling_168h_std,equipment_kwh_rolling_24h_mean,equipment_kwh_rolling_24h_std,equipment_kwh_rolling_168h_mean,equipment_kwh_rolling_168h_std,lighting_kwh_rolling_24h_mean,lighting_kwh_rolling_24h_std,lighting_kwh_rolling_168h_mean,lighting_kwh_rolling_168h_std,appliances_kwh_minus_equipment_kwh,appliances_kwh_div_equipment_kwh,appliances_kwh_minus_lighting_kwh,appliances_kwh_div_lighting_kwh,equipment_kwh_minus_lighting_kwh,equipment_kwh_div_lighting_kwh,appliances_kwh_hourly_zscore,appliances_kwh_dow_deviation,equipment_kwh_hourly_zscore,equipment_kwh_dow_deviation,lighting_kwh_hourly_zscore,lighting_kwh_dow_deviation
1.3514537743165713,3.1064188207897145,3.4453046532232356,13,1,9,11,2018,0,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.903177248329522,0.17100132413229444,0.39305949027605475,0.43593918559165085,,,,,,,,,,1.3514537743165713,,1.3514537743165713,,3.1064188207897145,,3.1064188207897145,,3.4453046532232356,,3.4453046532232356,,-1.7549650464731432,0.43505201722058984,-2.0938508789066645,0.39225958524516147,-0.3388858324335211,0.9016383552274606,-1.8305337172502307,-0.9722793281450974,-0.333158134358246,-0.10533943698976644,1.4615127713467237,0.7042905624910967
1.5588067611066667,3.0088537971176668,3.471118557452667,14,1,9,11,2018,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,8.038779115677,0.19391088356523264,0.3742923836842195,0.4317967327505478,,,,,,,,,,1.4551302677116191,0.14662070305856098,1.4551302677116191,0.14662070305856098,3.0576363089536907,0.06898888984513102,3.0576363089536907,0.06898888984513102,3.4582116053379512,0.0182531867295309,3.4582116053379512,0.0182531867295309,-1.450047036011,0.5180732817925306,-1.9123117963460001,0.44907908943640945,-0.4622647603350001,0.8668254187565866,-1.401637302858345,-0.764926341355002,-0.7424170257336795,-0.20290446066181422,1.5042140501785102,0.7301044667205279
1.5035396317658334,3.0066376606628333,3.4901147365575,15,1,9,11,2018,0,1,0,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,8.000292028986166,0.18793559364061974,0.37581598893757484,0.4362484174218055,,,,,,,,,,1.4712667223963571,0.10737770155889524,1.4712667223963571,0.10737770155889524,3.040636759523405,0.05697971133245583,3.040636759523405,0.05697971133245583,3.468845982411134,0.02249131699335274,3.468845982411134,0.02249131699335274,-1.503098028897,0.5000734379926473,-1.9865751047916667,0.43079948519081085,-0.4834770758946667,0.8614724407680798,-1.5159538312815,-0.8201934706958354,-0.7517131188878254,-0.20512059711664765,1.5356374696459616,0.7491006458253611
1.4372457822176665,2.9290402849521664,3.4463888963065,16,1,9,11,2018,0,1,0,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.812674963476333,0.18396334020507474,0.37490876027035674,0.44112789952456855,,,,,,,,,,1.4627614873516845,0.08930847265167302,1.4627614873516845,0.08930847265167302,3.0127376408805953,0.07264916806040471,3.0127376408805953,0.07264916806040471,3.4632317108849757,0.021524863278111477,3.4632317108849757,0.021524863278111477,-1.4917945027344999,0.4906882945931001,-2.0091431140888334,0.4170294837468763,-0.5173486113543335,0.8498867577281319,-1.653078426434918,-0.8864873202440022,-1.0772131265928304,-0.2827179728273146,1.463306322830002,0.7053748055743609
1.5700754880916667,2.9263708829878334,3.3602245966585,17,1,9,11,2018,0,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.856670967738,0.19983979150188394,0.3724695733096685,0.4276906351884475,,,,,,,,,,1.484224287499681,0.09102341136485247,1.484224287499681,0.09102341136485247,2.995464289302043,0.07382594116354416,2.995464289302043,0.07382594116354416,3.4426302880396804,0.04969489833583807,3.4426302880396804,0.04969489833583807,-1.3562953948961667,0.5365264865158222,-1.7901491085668333,0.46725313827325504,-0.4338537136706666,0.8708855014923399,-1.3783286605597889,-0.753657614370002,-1.088410545990078,-0.28538737479164755,1.3207736105400134,0.6192105059263611
1.5060585737235,2.9142747759823333,3.36518065532,18,1,9,11,2018,0,0,0,0,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.785514005025833,0.19344369206083042,0.37432015074419783,0.43223615719497177,,,,,,,,,,1.4878633352036508,0.08190033664367156,1.4878633352036508,0.08190033664367156,2.981932703748758,0.07388395303759596,2.981932703748758,0.07388395303759596,3.4297220159197335,0.054547293894591974,3.4297220159197335,0.054547293894591974,-1.4082162022588334,0.5167867443850909,-1.8591220815965002,0.44754167100734343,-0.4509058793376668,0.8660084181142454,-1.510743560667949,-0.8176745287381688,-1.1391504439238893,-0.2974834817971477,1.3289719071219819,0.6241665645878611
1.4400801916911665,2.8843721429503333,2.831228129070167,19,1,9,11,2018,0,0,0,0,1,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.155680463711667,0.2012499298975396,0.4030884494602213,0.3956616206422391,,,,,,,,,,1.4810371718447244,0.076914865243169,1.4810371718447244,0.076914865243169,2.9679954807775544,0.07686842905962567,2.9679954807775544,0.07686842905962567,3.3442228892269386,0.2316251513026319,3.3442228892269386,0.2316251513026319,-1.4442919512591668,0.4992699001100995,-1.3911479373790003,0.5086415244694953,0.05314401388016643,1.018770657628928,-1.6472156314063942,-0.8836529107705022,-1.2645839034084987,-0.3273861148291477,0.445709324922757,0.09021403833802788
1.4371995965641666,2.8877570390700003,3.123688908417667,20,1,9,11,2018,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.448645544051834,0.1929477766211942,0.3876888787352807,0.41936334464352515,,,,,,,,,,1.4755574749346547,0.07287650547616037,1.4755574749346547,0.07287650547616037,2.95796567556411,0.07661216231612662,2.95796567556411,0.07661216231612662,3.3166561416257796,0.22817821869286387,3.3166561416257796,0.22817821869286387,-1.4505574425058336,0.49768715896785265,-1.6864893118535003,0.4600969042375584,-0.23593186934766663,0.9244701132971721,-1.6531739585103855,-0.8865335058975021,-1.2503851795091183,-0.32400121870948073,0.9294970222537448,0.3826748176855279
1.4746113002301666,2.8772444605823333,2.8100554267561666,21,1,9,11,2018,0,0,0,0,1,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,7.161911187568666,0.20589633990292042,0.401742549611133,0.39236111048594663,,,,,,,,,,1.4754523444119338,0.0681704583449165,1.4754523444119338,0.0681704583449165,2.948996651677246,0.07654891242373542,2.948996651677246,0.07654891242373542,3.2603671733069337,0.27216386358169903,3.2603671733069337,0.27216386358169903,-1.4026331603521667,0.5125081724657196,-1.335444126526,0.5247623538630369,0.0671890338261667,1.0239102165695455,-1.5757902380873836,-0.8491218022315021,-1.2944826035185837,-0.3345137971971477,0.4106855076382045,0.06904133602402762
1.3875948389358332,2.8672195871665003,2.3669502059618335,22,1,9,11,2018,0,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,6.621764632064167,0.20955061317292484,0.43299932064675595,0.3574500661803192,,,,,,,,,,1.4666665938643237,0.07001963079442056,1.4666665938643237,0.07001963079442056,2.9408189452261717,0.07666422271325564,2.9408189452261717,0.07666422271325564,3.1710254765724235,0.3816571816730946,3.1710254765724235,0.3816571816730946,-1.479624748230667,0.4839513670828084,-0.9793553670260002,0.5862374440496396,0.5002693812046668,1.2113561070886059,-1.755778232569422,-0.9361382635258355,-1.3365342366338875,-0.3445386706129807,-0.32229774885759255,-0.3740638847703055
